cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-703604-11,37.99597168,310.1478271,·ñ
460-00-703824-12,40.5715332,426.2406006,·ñ
460-00-661321-13,147.8067627,1295.141113,·ñ
460-00-718429-13,117.1362305,826.4078369,·ñ
460-00-703868-13,31.97827148,233.793457,·ñ
460-00-661672-13,461.114624,4500.641968,·ñ
460-00-203481-133,0,0,·ñ
460-00-703616-11,20.13342285,151.6190186,·ñ
460-00-703878-11,79.39099121,628.9552002,·ñ
460-00-719090-21,108.8481445,598.6004639,·ñ
460-00-661698-12,123.2169189,1599.631714,·ñ
460-00-661496-13,141.4666748,1256.844238,·ñ
460-00-708360-21,55.02575684,428.8126221,·ñ
460-00-661475-12,256.4997559,2366.903076,·ñ
460-00-704575-12,113.809082,1068.69812,·ñ
460-00-718400-11,362.6602783,3298.082397,·ñ
460-00-661336-11,553.5316162,3397.072632,·ñ
460-00-718398-11,246.3234863,3202.526245,·ñ
460-00-703552-13,2.659545898,11.47827148,·ñ
460-00-661493-11,99.85119629,671.9141846,·ñ
460-00-703661-13,46.40551758,387.3100586,·ñ
460-00-661597-22,0,0,·ñ
460-00-718637-12,25.83911133,235.7978516,·ñ
460-00-703891-13,140.7276611,748.9152832,·ñ
460-00-661750-11,456.9735107,4192.806519,·ñ
460-00-661534-11,262.62146,2730.535522,·ñ
460-00-703880-12,162.7615967,1528.519287,·ñ
460-00-661550-11,108.9158936,937.7259521,·ñ
460-00-718421-11,72.40319824,1641.632202,·ñ
460-00-661540-13,245.5131836,1818.465576,·ñ
460-00-703795-13,157.9683838,1735.973267,·ñ
460-00-718570-11,125.0786133,952.8955078,·ñ
460-00-719040-11,61.87890625,978.4841309,·ñ
460-00-718680-12,39.30615234,336.9412842,·ñ
460-00-718524-12,33.9987793,219.663208,·ñ
460-00-718391-12,828.4528809,7557.884888,·ñ
460-00-661307-11,58.30187988,786.9090576,·ñ
460-00-708455-21,84.40490723,498.5062256,·ñ
460-00-718530-12,233.4044189,1864.028564,·ñ
460-00-708548-12,338.7642822,3259.028076,·ñ
460-00-708532-12,55.82055664,487.2913818,·ñ
460-00-704635-13,500.925293,3681.482178,·ñ
460-00-703788-13,214.6303711,2725.099243,·ñ
460-00-661465-13,45.48461914,423.9007568,·ñ
460-00-661619-21,196.5391846,1354.758667,·ñ
460-00-661486-11,249.37854,1173.798584,·ñ
460-00-718367-12,369.538208,1933.730347,·ñ
460-00-719007-12,2909.673706,24753.125,·ñ
460-00-704708-21,20.01696777,494.458374,·ñ
460-00-718871-12,544.3961182,6112.574707,·ñ
460-00-203335-133,0,0,ÊÇ
460-00-718639-11,68.36169434,189.1088867,·ñ
460-00-703789-12,230.7606201,1687.528809,·ñ
460-00-203060-133,2155.290771,21489.32617,ÊÇ
460-00-661470-11,101.0480957,652.7196045,·ñ
460-00-661360-11,303.8894043,3157.768311,·ñ
460-00-661391-13,401.1807861,5916.162354,·ñ
460-00-703786-13,166.373291,1467.211914,·ñ
460-00-661702-11,97.7677002,978.0418701,·ñ
460-00-661649-11,71.37915039,460.5302734,·ñ
460-00-708558-122,154.4285889,1233.18396,·ñ
460-00-203012-131,183.1179199,1479.690063,·ñ
460-00-704567-13,167.0670166,1435.207275,·ñ
460-00-718345-12,271.8131104,1963.96814,·ñ
460-00-703612-11,370.2067871,3699.316772,·ñ
460-00-718942-13,72.73876953,482.8282471,·ñ
460-00-661681-13,247.1524658,2575.823486,·ñ
460-00-661318-12,15.99414063,57.28564453,·ñ
460-00-703497-13,18.07568359,274.9748535,·ñ
460-00-708453-21,46.77624512,975.5831299,·ñ
460-00-661608-121,348.7302246,4633.504028,·ñ
460-00-703517-11,320.9680176,2488.448242,·ñ
460-00-703553-13,58.79516602,402.7738037,·ñ
460-00-718779-13,158.105835,2855.955933,·ñ
460-00-704657-13,4.952026367,28.85839844,·ñ
460-00-704728-21,41.5793457,468.3293457,·ñ
460-00-718387-11,327.1999512,2560.367065,·ñ
460-00-661286-12,127.8282471,712.0617676,·ñ
460-00-703574-13,82.18652344,878.5319824,·ñ
460-00-718562-12,51.99743652,333.2952881,·ñ
460-00-661428-11,9.309448242,66.97155762,·ñ
460-00-718381-11,57.19042969,844.8302002,·ñ
460-00-703544-12,43.11657715,404.6477051,·ñ
460-00-703906-12,45.62585449,164.5500488,·ñ
460-00-661437-12,58.82556152,420.9447021,·ñ
460-00-703928-12,0.117553711,0.172119141,·ñ
460-00-661414-11,97.89526367,685.663208,·ñ
460-00-703541-13,162.1584473,1283.803589,·ñ
460-00-661511-11,119.7039795,878.1730957,·ñ
460-00-708427-21,10.74365234,176.9666748,·ñ
460-00-661349-12,64.06726074,311.2946777,·ñ
460-00-661575-112,471.1635742,4698.689453,·ñ
460-00-661420-12,55.98181152,594.6662598,·ñ
460-00-703519-13,128.8651123,730.4750977,·ñ
460-00-703981-122,320.7126465,6490.452515,·ñ
460-00-703904-11,47.03369141,568.4118652,·ñ
460-00-718629-12,30.70715332,323.652832,·ñ
460-00-661439-13,296.81604,1991.020386,·ñ
460-00-703954-11,61.60131836,1241.623657,·ñ
460-00-203138-132,0,0,·ñ
460-00-703821-13,39.58740234,332.5770264,·ñ
460-00-661254-11,21.7097168,120.3831787,·ñ
460-00-703685-11,35.59399414,441.9200439,·ñ
460-00-704607-14,0,0,·ñ
460-00-708523-21,107.7612305,761.0748291,·ñ
